"type","group","kanji","kana","translation","pattern"
"word","Вопросы","何","なに／なん","Что?",""
"word","Вопросы","","どこ","Где?",""
"word","Вопросы","","どちら","Где? (вежл.) / Который из двух?",""
"word","Вопросы","","どっち","Где? / Который (разг.)",""
"word","Вопросы","","いつ","Когда?",""
"word","Вопросы","","だれ","Кто?",""
"word","Вопросы","","どなた","Кто? (вежл.)",""
"word","Вопросы","","なぜ","Почему?",""
"word","Вопросы","","どうして","Почему? (разг.)",""
"word","Вопросы","","どう","Как?",""
"word","Вопросы","","いかが","Как? (вежл.)",""
"word","Вопросы","","どの","Какой? (перед сущ.)",""
"word","Вопросы","","どれ","Который? (из нескольких)",""
"word","Вопросы","","どのくらい","Насколько? / Сколько?",""
"word","Вопросы","","いくら","Сколько стоит?",""
"word","Вопросы","","いくつ","Сколько (штук)?",""
"word","Вопросы","何歳","なんさい","Сколько лет?",""
"word","Вопросы","","どうやって","Как (каким способом)?",""
"word","Вопросы","","どんな","Какой (по свойствам)?",""
"word","Вопросы","","どういう","Какой (что за)?",""
"word","Вопросы","","なんで","Почему? / Чем?",""
"word","Вопросы","何の","なんの","Какой? / Чей? / Из чего?",""
"word","Время","先週","せんしゅう","на прошлой неделе",""
"word","Время","先週末","せんしゅうまつ","в прошлые выходные",""
"word","Время","先月","せんげつ","в прошлом месяце",""
"word","Время","今週末","こんしゅうまつ","в эти выходные",""
"word","Время","今月","こんげつ","в этом месяце",""
"word","Время","来週","らいしゅう","на следующей неделе",""
"word","Время","来週末","らいしゅうまつ","в следующие выходные",""
"word","Время","来月","らいげつ","в следующем месяце",""
"word","Время","来年","らいねん","в следующем году",""
"word","Время","再来週","さらいしゅう","через две недели",""
"word","Время","再来月","さらいげつ","через два месяца",""
"word","Время","再来年","さらいねん","через два года",""
"grammar","Формы 何","何か","","что-то (неопределённость)","何か"
"grammar","Формы 何","何も〜ない","","ничего (полное отрицание)","何も〜ない"
"grammar","Формы 何","何でも","","что угодно (любой вариант)","何でも"
"grammar","Формы 何","何でもいい","","что угодно (мне всё равно)","何でもいい"
"grammar","Формы 何","何だか","","как-то / что-то (ощущение)","何だか"
"grammar","Формы 何","何だろう","","интересно, что это…","何だろう"
"grammar","Формы 何","何かしら","","что-то (мягко)","何かしら"
"grammar","Формы 何","何なの","","что это такое? (эмоц.)","何なの"
"grammar","Формы 何","何だって","","что угодно (усиление)","何だって"
"grammar","Формы 何","何とは","","что значит… (объяснение)","何とは"
