"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N4","周り","まわり","","circumference; girth",""
"word","Jisho-N4","上げる","あげる","","to raise; to elevate",""
"word","Jisho-N4","腕","うで","","arm; ability; skill",""
"word","Jisho-N4","人形","にんぎょう","","doll; puppet; marionette",""
"word","Jisho-N4","文化","ぶんか","","culture; civilization; civilisation",""
"word","Jisho-N4","海岸","かいがん","","seashore; coast; seaside",""
"word","Jisho-N4","産業","さんぎょう","","industry; livelihood; occupation",""
"word","Jisho-N4","動物園","どうぶつえん","","zoo; zoological gardens",""
"word","Jisho-N4","美術館","びじゅつかん","","art museum; art gallery",""
"word","Jisho-N4","水道","すいどう","","water supply; water service; waterworks",""
"word","Jisho-N4","飛行場","ひこうじょう","","airfield; airport; aerodrome",""
"word","Jisho-N4","葡萄","ぶどう","","grape; grapevine",""
"word","Jisho-N4","事故","じこ","","accident; incident; trouble",""
"word","Jisho-N4","息子","むすこ","","son; penis",""
"word","Jisho-N4","生活","せいかつ","","life; living",""
"word","Jisho-N4","注意","ちゅうい","","attention; notice; heed",""
"word","Jisho-N4","女性","じょせい","","woman; female",""
"word","Jisho-N4","生きる","いきる","","to live; to exist",""
"word","Jisho-N4","船","ふね","","ship; boat; watercraft",""
"word","Jisho-N4","説明","せつめい","","explanation; exposition; description",""
"word","Jisho-N4","警察","けいさつ","","police; police officer",""
"word","Jisho-N4","危険","きけん","","danger; peril; hazard",""
"word","Jisho-N4","世界","せかい","","the world; society; the universe",""
"word","Jisho-N4","戦争","せんそう","","war; fighting; fierce competition",""
"word","Jisho-N4","小説","しょうせつ","","novel; story; (work of) fiction",""
"word","Jisho-N4","関係","かんけい","","relation; relationship; connection",""
"word","Jisho-N4","研究","けんきゅう","","research; study; investigation",""
"word","Jisho-N4","会議","かいぎ","","meeting; conference; session",""
"word","Jisho-N4","音","おと","","sound; noise",""
"word","Jisho-N4","普通","ふつう","","normal; ordinary; regular",""
"word","Jisho-N4","湖","みずうみ","","lake",""
"word","Jisho-N4","夢","ゆめ","","dream; hope; wish",""
"word","Jisho-N4","空港","くうこう","","airport",""
"word","Jisho-N4","数学","すうがく","","mathematics",""
"word","Jisho-N4","教育","きょういく","","education; schooling; training",""
"word","Jisho-N4","赤ちゃん","あかちゃん","","baby; infant",""
"word","Jisho-N4","自由","じゆう","","freedom; liberty",""
"word","Jisho-N4","火","ひ","","fire; flame; blaze",""
"word","Jisho-N4","森","もり","","forest; shrine grove",""
"word","Jisho-N4","法律","ほうりつ","","law; legislation; act",""
"word","Jisho-N4","気分","きぶん","","feeling; mood",""
"word","Jisho-N4","壁","かべ","","wall; partition",""
"word","Jisho-N4","田舎","いなか","","rural area; countryside; the sticks",""
"word","Jisho-N4","気","き","","spirit; mind; heart",""
"word","Jisho-N4","男性","だんせい","","man; male",""
"word","Jisho-N4","地震","じしん","","earthquake",""
"word","Jisho-N4","人口","じんこう","","population; common talk",""
"word","Jisho-N4","故障","こしょう","","fault; trouble; breakdown",""
"word","Jisho-N4","残念","ざんねん","","regrettable; unfortunate; disappointing",""
"word","Jisho-N4","島","しま","","island; one's territory (of a sex worker, organized crime gang, etc.); one's turf",""
"word","Jisho-N4","教会","きょうかい","","church; congregation",""
"word","Jisho-N4","歴史","れきし","","history",""
"word","Jisho-N4","社会","しゃかい","","society; public; community",""
"word","Jisho-N4","住所","じゅうしょ","","address (of a home, business, etc.); residence; domicile",""
"word","Jisho-N4","工場","こうじょう","","factory; plant; mill",""
"word","Jisho-N4","趣味","しゅみ","","hobby; pastime",""
"word","Jisho-N4","経済","けいざい","","economy; economics",""
"word","Jisho-N4","台風","たいふう","","typhoon; hurricane",""
"word","Jisho-N4","卒業","そつぎょう","","graduation; completion (of a course)",""
"word","Jisho-N4","雲","くも","","cloud",""
"word","Jisho-N4","光","ひかり","","light; illumination; ray",""
